id,installer,longitude,latitude,num_private,basin,region_code,district_code,population,public_meeting,scheme_management,permit,construction_year,management,payment,quantity,water_quality_by_region,water_quality_by_extraction_type,water_quality_by_waterpoint_type,water_quality_by_source,water_quality_by_gps_height
56995,other,30.70728207,-3.59440207,0,Lake Tanganyika,16,1,550,True,VWC,False,2012,vwc,unknown,enough,0,0,0,0,0
72681,DWE,38.86751612,-4.82479484,0,Pangani,4,8,150,True,VWC,True,1971,vwc,never pay,enough,44,0,0,0,0
58594,DWE,0.0,-2e-08,0,Lake Victoria,17,1,0,False,WUG,False,0,wug,never pay,dry,0,0,0,0,0
67185,DWE,37.32145384,-3.21907123,0,Pangani,3,4,50,True,VWC,True,2008,vwc,pay monthly,enough,0,0,0,0,0
62386,Government,34.859035799999994,-10.75244982,141,Lake Nyasa,10,3,40,True,VWC,True,2005,vwc,unknown,insufficient,0,0,0,0,0
56980,Government,34.12120647,-1.65703004,0,Lake Victoria,20,3,700,True,VWC,False,2010,vwc,pay monthly,enough,14,7,1,2,1219
17099,DWE,31.04514954,-7.51294759,0,Lake Tanganyika,15,3,1,True,VWC,False,1987,vwc,never pay,insufficient,0,0,0,0,0
59697,DWE,30.02343938,-4.93328596,0,Lake Tanganyika,16,3,225,True,VWC,True,1994,vwc,unknown,enough,0,0,0,0,0
70235,DWE,38.11059415,-5.34550485,0,Pangani,4,6,20,False,VWC,False,2008,vwc,never pay,dry,0,0,0,0,0
57191,other,29.86866458,-4.62070656,0,Lake Tanganyika,16,2,380,True,Water authority,True,2006,water board,pay monthly,insufficient,0,0,0,0,0
60783,other,35.82995898,-8.76167921,0,Rufiji,5,3,500,True,missing,True,1997,vwc,never pay,insufficient,0,0,0,0,0
72160,DWE,32.55378678,-3.87499481,0,Lake Victoria,17,3,0,True,missing,True,0,wug,unknown,dry,3,6,6,3,0
43214,Government,30.84308907,-3.41287731,0,Lake Tanganyika,16,1,300,True,VWC,False,2009,vwc,unknown,insufficient,0,0,0,0,0
51182,DWE,0.0,-2e-08,0,Lake Victoria,19,6,0,True,VWC,True,0,vwc,pay monthly,insufficient,0,0,0,0,0
14139,DWE,32.39062634,-4.0317758,0,Lake Tanganyika,17,3,0,True,missing,True,0,wug,unknown,enough,7,7,7,7,0
45150,DWE,31.13123493,-1.68509235,0,Lake Victoria,18,1,0,True,WUA,True,0,vwc,pay annually,enough,0,0,0,0,0
47918,other,34.74939866,-4.1335767,0,Internal,13,1,668,True,Parastatal,True,2008,parastatal,never pay,seasonal,0,0,0,0,0
22249,other,36.79597646,-7.19444607,0,Wami / Ruvu,5,1,250,True,VWC,True,2007,vwc,pay monthly,enough,0,0,0,0,0
32985,TCRS,30.35662726,-5.55944524,0,Lake Tanganyika,15,1,30,True,Water authority,True,1981,water authority,never pay,enough,0,0,0,0,0
6152,DWE,31.73795141,-1.34519542,0,Lake Victoria,18,2,0,True,VWC,True,0,vwc,never pay,dry,12,0,0,0,0
12866,other,31.65396033,-1.83899377,0,Lake Victoria,18,3,0,True,VWC,True,0,vwc,pay per bucket,enough,0,0,0,0,0
54051,other,39.47769433,-9.7051976,0,Ruvuma / Southern Coast,80,23,1,False,VWC,False,2011,vwc,never pay,insufficient,19,6,1,2,119
5535,DWE,30.69755198,-2.65827252,0,Lake Victoria,18,30,0,True,VWC,False,0,vwc,never pay,enough,0,0,0,0,0
32566,KKKT,32.80254321,-8.88410168,0,Lake Rukwa,12,6,0,False,VWC,False,0,vwc,never pay,seasonal,0,0,0,0,0
42674,DWE,38.91474855,-8.61771393,0,Ruvuma / Southern Coast,80,13,230,True,missing,True,1993,vwc,never pay,enough,19,1,1,1,135
11872,other,34.80751913,-9.11772532,0,Rufiji,11,4,130,True,WUA,True,2009,wua,pay monthly,enough,0,0,0,0,0
25529,DWE,33.45249894,-2.14986185,0,Lake Victoria,20,4,800,True,WUG,True,1978,wug,pay per bucket,enough,0,0,0,0,0
60122,other,39.47196251,-10.31440602,0,Ruvuma / Southern Coast,80,23,1,False,VWC,False,2006,vwc,pay per bucket,enough,0,0,0,0,0
46919,DWE,35.57910124,-4.1059173,0,Internal,21,1,230,True,WUA,True,2010,wua,never pay,enough,0,0,0,0,0
11749,DWE,35.85739921,-4.29317348,50,Internal,21,1,480,True,Water Board,True,2011,vwc,never pay,insufficient,0,0,0,0,0
23781,WEDECO,34.33382056,-3.14077154,0,Internal,17,6,0,True,WUG,True,0,wug,never pay,enough,0,0,0,0,0
53893,other,33.03615418,-2.73181677,0,Lake Victoria,19,7,0,False,VWC,True,0,vwc,never pay,enough,0,0,0,0,0
67596,other,34.96488115,-5.091432599999999,0,Internal,13,2,1,True,VWC,missing,1980,vwc,unknown,dry,26,4,2,2,3198
4856,other,37.02835111,-3.17890612,0,Pangani,3,7,1,True,Water Board,True,2001,water board,pay monthly,enough,0,0,0,0,0
57818,other,37.914753999999995,-4.15518942,0,Pangani,3,3,30,True,Water authority,True,1995,vwc,never pay,enough,0,0,0,0,0
9242,DWE,39.12480886,-8.51631949,0,Rufiji,80,13,350,False,missing,False,2007,other,never pay,seasonal,0,0,0,0,0
37291,DWE,33.61859079,-4.26376543,0,Internal,14,2,0,True,Water authority,False,0,vwc,never pay,enough,0,0,0,0,0
4128,other,38.41085178,-6.11753849,0,Wami / Ruvu,6,1,80,True,WUA,True,2003,parastatal,pay monthly,enough,0,0,0,0,0
19781,other,35.42732704,-4.22849934,0,Internal,21,1,240,True,Water Board,True,2011,water board,pay per bucket,insufficient,0,0,0,0,0
69312,other,37.06146177,-6.86360533,0,Wami / Ruvu,5,1,200,True,VWC,True,2010,wug,pay when scheme fails,insufficient,0,0,0,0,0
52119,other,38.71307081,-6.94572785,0,Wami / Ruvu,6,3,100,True,VWC,False,1978,vwc,never pay,enough,0,0,0,0,0
43227,DWE,39.03785474,-8.54204586,0,Ruvuma / Southern Coast,80,13,453,True,missing,True,1985,vwc,never pay,enough,0,0,0,0,0
73230,other,33.47903918,-3.61240491,0,Internal,17,7,0,True,Private operator,False,0,private operator,pay when scheme fails,enough,0,0,0,0,0
45550,other,35.791325,-8.79659741,0,Rufiji,5,3,150,True,VWC,True,2002,vwc,never pay,insufficient,0,0,0,0,0
27356,KKKT,33.09887075,-9.25322793,0,Lake Nyasa,12,6,0,True,VWC,False,0,vwc,pay when scheme fails,insufficient,0,0,0,0,0
37024,DWE,31.04303209,-5.10897369,0,Lake Tanganyika,16,3,3250,True,VWC,True,2005,vwc,unknown,enough,0,0,0,0,0
502,other,33.95275746,-3.44367566,0,Internal,17,2,0,True,VWC,False,0,vwc,other,seasonal,0,0,0,0,0
55954,Government,0.0,-2e-08,0,Lake Victoria,19,2,0,True,VWC,True,0,vwc,never pay,enough,0,0,0,0,0
46224,DWE,34.69045386,-9.1439135,0,Rufiji,11,4,50,True,VWC,True,1974,vwc,pay when scheme fails,enough,0,0,0,0,0
56859,Government,0.0,-2e-08,0,Lake Victoria,19,6,0,True,VWC,True,0,vwc,never pay,insufficient,0,0,0,0,0
15937,DWE,38.67645993,-7.90492246,0,Rufiji,60,53,1,True,VWC,True,2003,vwc,pay per bucket,dry,0,0,0,0,0
57239,other,30.09982263,-4.59930426,0,Lake Tanganyika,16,2,750,True,Water authority,True,1989,water board,pay monthly,insufficient,0,0,0,0,0
29931,DWE,36.65111874,-3.31018033,0,Pangani,2,2,300,True,VWC,True,1990,vwc,never pay,insufficient,0,0,0,0,0
22585,KKKT,32.76078187,-8.982219699999998,0,Lake Rukwa,12,6,0,True,VWC,False,0,vwc,pay when scheme fails,insufficient,0,0,0,0,0
51970,HESAWA,34.68494892,-1.83886772,0,Lake Victoria,20,2,600,missing,Water authority,True,1993,water authority,other,insufficient,14,2,1,2,1589
50389,Community,37.01329260000001,-3.28845947,0,Pangani,2,7,210,True,VWC,True,1963,vwc,unknown,insufficient,0,0,0,0,0
60185,RWE,37.30315169,-3.30281884,0,Pangani,3,4,1,False,VWC,True,0,vwc,never pay,insufficient,0,0,0,0,0
62710,RWE,37.29166481,-3.18967615,0,Pangani,3,4,50,False,VWC,True,1976,vwc,never pay,enough,0,0,0,0,0
2646,other,33.54279711,-9.17559954,0,Lake Nyasa,12,4,0,True,VWC,missing,0,vwc,never pay,insufficient,0,0,0,0,0
27138,World vision,37.15565006,-3.57387193,0,Pangani,21,4,200,True,VWC,True,2006,vwc,pay per bucket,enough,0,0,0,0,0
33484,DWE,31.9918531,-3.28788113,0,Lake Tanganyika,17,5,0,missing,WUG,True,0,wug,unknown,enough,0,0,0,0,0
67735,RWE,37.42462233,-6.91713764,0,Wami / Ruvu,5,6,90,True,VWC,True,1977,vwc,never pay,enough,0,0,0,0,0
8985,CES,37.21021562,-3.23045693,0,Pangani,3,5,40,True,Water Board,True,1995,water board,other,enough,0,0,0,0,0
71947,Community,0.0,-2e-08,0,Lake Tanganyika,19,6,0,True,VWC,True,0,vwc,never pay,insufficient,0,0,0,0,0
45555,other,32.77497519,-3.29375864,0,Lake Victoria,17,3,0,True,WUG,True,0,wug,never pay,dry,0,0,0,0,0
63201,other,34.83324,-5.73463411,0,Internal,13,3,800,True,Other,False,2002,vwc,pay per bucket,insufficient,0,0,0,0,0
58957,DWE,35.65152586,-4.29630736,0,Internal,21,1,1300,True,VWC,True,2012,vwc,never pay,enough,0,0,0,0,0
71362,Community,36.83465517,-3.30901705,0,Pangani,2,7,98,True,VWC,True,1997,vwc,unknown,insufficient,0,0,0,0,0
39757,other,39.42953307,-6.89257089,0,Wami / Ruvu,7,3,110,True,SWC,False,2000,other - school,never pay,dry,0,0,0,0,0
8724,RWE,37.53051463,-6.96356538,0,Wami / Ruvu,5,6,500,True,VWC,True,1974,vwc,never pay,enough,0,0,0,0,0
66022,RWE,38.37652389,-5.00808645,0,Pangani,4,2,250,True,VWC,False,1972,vwc,never pay,dry,0,0,0,0,0
52755,other,31.54756828,-1.66972005,0,Lake Victoria,18,3,0,True,VWC,True,0,vwc,never pay,enough,0,0,0,0,0
38135,DWE,36.13021344,-8.93932371,0,Rufiji,5,4,1,True,missing,True,1985,vwc,never pay,dry,0,0,0,0,0
23445,AMREF,38.91118329,-7.34222432,0,Rufiji,60,43,60,True,VWC,False,2003,vwc,never pay,dry,0,0,0,0,0
15208,DWE,31.37871004,-7.56305195,0,Lake Rukwa,15,3,1,False,VWC,False,1978,vwc,never pay,unknown,32,6,0,6,3712
54464,other,38.76123496,-10.21222387,0,Ruvuma / Southern Coast,8,3,103,True,VWC,False,0,vwc,never pay,insufficient,19,2,3,5,383
33967,other,34.13517075,-8.803943199999997,0,Rufiji,12,7,0,True,VWC,True,0,vwc,pay monthly,seasonal,0,0,0,0,0
13886,DWE,37.3708941,-3.27149859,0,Pangani,3,4,1,False,VWC,True,1978,vwc,never pay,insufficient,0,0,0,0,0
37616,DWE,37.37070372,-3.31641416,0,Pangani,3,4,1,missing,VWC,False,1963,vwc,unknown,insufficient,0,0,0,0,0
57832,other,30.98588433,-6.42787545,0,Lake Rukwa,15,1,1500,True,VWC,True,2012,vwc,pay per bucket,enough,0,0,0,0,0
14176,DWE,38.4696075,-4.9379264,0,Pangani,4,1,1,True,VWC,True,2008,vwc,never pay,enough,0,0,0,0,0
20434,DWE,31.48010102,-1.40933818,0,Lake Victoria,18,2,0,True,VWC,True,0,vwc,never pay,dry,12,0,0,6,0
72216,other,31.60654003,-1.83713355,0,Lake Victoria,18,3,0,True,VWC,True,0,vwc,never pay,enough,0,0,0,0,0
46713,DWE,33.23348381,-8.95755672,0,Lake Rukwa,12,2,0,True,WUA,True,0,wug,pay monthly,insufficient,2,3,0,2,0
12631,DWE,39.63229548,-10.75301289,0,Ruvuma / Southern Coast,9,4,350,True,Water Board,True,1999,vwc,pay per bucket,insufficient,0,0,0,0,0
20067,DANIDA,37.00418982,-10.75888035,0,Ruvuma / Southern Coast,10,1,1,True,VWC,False,1988,vwc,pay annually,insufficient,0,0,0,0,0
38706,other,32.90953523,-2.70309529,0,Lake Victoria,19,7,0,missing,VWC,True,0,vwc,never pay,unknown,14,16,6,12,0
23281,other,34.96443667,-5.50502947,0,Internal,13,3,230,True,VWC,True,2008,vwc,pay per bucket,enough,13,5,3,2,1261
14178,other,30.11036328,-4.50416321,0,Lake Tanganyika,16,2,750,True,Water authority,True,2001,water board,pay monthly,enough,0,0,0,0,0
4458,DWE,37.7560291,-7.12944302,0,Wami / Ruvu,5,2,2500,True,VWC,True,2003,vwc,never pay,insufficient,0,0,0,0,0
36084,other,31.69723326,-1.37499199,0,Lake Victoria,18,2,0,True,VWC,True,0,vwc,never pay,enough,6,4,1,1,0
44851,other,38.6997024,-6.86524285,0,Wami / Ruvu,6,3,288,True,VWC,False,2004,vwc,never pay,insufficient,40,24,4,8,132
58195,DWE,34.02024199,-1.90193097,0,Lake Victoria,20,4,20,False,Parastatal,False,1991,parastatal,unknown,seasonal,0,0,0,0,0
41051,RWE,29.67368504,-4.77277331,0,Lake Tanganyika,16,3,60,True,VWC,True,1985,vwc,pay monthly,enough,0,0,0,0,0
48655,DWE,38.10828598,-4.49413846,0,Pangani,3,3,120,True,Water authority,missing,2010,vwc,never pay,enough,3,3,0,2,474
22592,other,37.07456141,-7.05759068,0,Wami / Ruvu,5,1,250,True,VWC,True,2005,vwc,pay monthly,insufficient,0,0,0,0,0
36261,other,35.86298725,-10.561104499999999,0,Rufiji,10,5,240,True,WUG,True,1999,wug,pay when scheme fails,dry,0,0,0,0,0
32576,TCRS,30.37267258,-5.55367604,0,Lake Tanganyika,15,1,350,True,Water authority,True,1983,water authority,never pay,enough,0,0,0,0,0
35837,other,34.25728696,-8.74845578,0,Rufiji,12,7,0,True,VWC,True,0,vwc,pay monthly,seasonal,0,0,0,0,0
19136,other,34.66789239,-9.30515155,0,Rufiji,11,4,110,True,WUA,True,2008,wua,pay monthly,enough,0,0,0,0,0
29644,other,0.0,-2e-08,0,Lake Victoria,17,1,0,missing,WUG,False,0,wug,unknown,enough,0,0,0,0,0
52162,other,33.80824483,-9.11524633,0,Lake Nyasa,12,4,0,True,VWC,missing,0,vwc,never pay,enough,0,0,0,0,0
532,District Council,37.53207357,-3.53417372,0,Pangani,3,2,360,True,Other,False,1990,other,never pay,enough,0,0,0,0,0
71012,DWE,33.89156959,-3.15432774,0,Lake Victoria,17,2,0,True,WUG,False,0,wug,pay annually,enough,0,0,0,0,0
68599,DWE,34.09316927,-3.07451355,0,Lake Victoria,17,2,0,True,WUG,False,0,wug,other,insufficient,0,0,0,0,0
34813,other,40.19075368,-10.27370317,0,Ruvuma / Southern Coast,9,5,430,True,Water authority,True,0,wug,pay per bucket,seasonal,0,0,0,0,0
8441,other,35.160951700000005,-3.95243327,0,Internal,21,3,132,True,Parastatal,True,2008,parastatal,never pay,dry,0,0,0,0,0
38317,DWE,34.67958492,-9.05511937,0,Rufiji,11,4,85,True,WUA,True,1978,wua,pay monthly,enough,0,0,0,0,0
64273,CES,37.22890385,-3.21964544,0,Pangani,3,5,1,True,Water Board,True,2008,water board,pay per bucket,enough,0,0,0,0,0
63119,other,33.03664121,-9.36992894,0,Lake Nyasa,12,5,0,True,VWC,False,0,vwc,unknown,dry,4,2,2,2,0
20819,other,30.21077719,-4.61902843,0,Lake Tanganyika,16,2,750,True,Water authority,True,1998,water board,pay monthly,enough,0,0,0,0,0
41473,DWE,38.37151612,-4.8439236,0,Pangani,4,1,1,True,VWC,True,1962,vwc,pay monthly,enough,0,0,0,0,0
2160,other,38.38918020000001,-6.63911089,0,Wami / Ruvu,6,1,150,True,WUA,True,2008,wua,pay per bucket,enough,0,0,0,0,0
58674,other,34.88142188,-8.83657995,0,Rufiji,11,4,40,True,VWC,False,2010,vwc,pay when scheme fails,enough,0,0,0,0,0
24196,DWE,34.03153166,-3.11390582,0,Lake Victoria,17,2,0,True,WUG,False,0,wug,other,enough,0,0,0,0,0
25807,DWE,36.68214126,-8.26822689,0,Rufiji,5,3,1,True,missing,True,1974,vwc,pay monthly,dry,0,0,0,0,0
54843,other,33.17075077,-3.81597256,0,Internal,17,3,0,True,WUG,True,0,wug,never pay,seasonal,0,0,0,0,0
24671,other,33.66034918,-8.99209048,0,Lake Nyasa,12,2,0,False,VWC,False,0,wug,pay when scheme fails,enough,0,0,0,0,0
32779,DWE,34.04374756,-1.89822755,0,Lake Victoria,20,4,1500,True,Parastatal,False,1991,parastatal,unknown,enough,0,0,0,0,0
37721,other,34.28985008,-8.63734427,0,Rufiji,12,7,0,True,VWC,True,0,vwc,never pay,seasonal,0,0,0,0,0
18164,RWE,29.6878412,-4.75124221,0,Lake Tanganyika,16,3,100,True,VWC,True,1985,vwc,pay monthly,seasonal,0,0,0,0,0
17421,Commu,34.08195583,-9.06763603,0,Rufiji,11,3,0,True,Parastatal,True,2008,vwc,pay annually,enough,0,0,0,0,0
46493,AMREF,39.08075902,-7.1289082,0,Wami / Ruvu,60,43,320,True,VWC,False,2006,vwc,never pay,seasonal,0,0,0,0,0
5690,TWESA,30.63722758,-2.45409081,0,Lake Victoria,18,30,0,True,VWC,False,0,vwc,never pay,enough,0,0,0,0,0
28471,other,37.73390082,-4.00834067,0,Pangani,3,3,420,True,Water authority,missing,2011,private operator,never pay,enough,0,0,0,0,0
27172,TCRS,36.17428701,-10.27609718,0,Rufiji,10,5,600,False,WUG,False,1987,wug,pay when scheme fails,insufficient,0,0,0,0,0
36074,other,34.54502402,-9.24806937,0,Rufiji,11,4,30,True,VWC,True,1985,vwc,pay when scheme fails,enough,0,0,0,0,0
73769,other,31.65326799,-1.59857903,0,Lake Victoria,18,3,0,True,VWC,True,0,vwc,never pay,enough,0,0,0,0,0
53067,other,33.63678201,-9.32379488,0,Lake Nyasa,12,4,0,True,VWC,missing,0,vwc,never pay,insufficient,0,0,0,0,0
18035,other,36.96852561,-3.34196635,0,Pangani,2,7,130,True,VWC,True,2002,vwc,unknown,insufficient,0,0,0,0,0
